10HZ,20HZ,30HZ,40HZ,50HZ,60HZ,70HZ,80HZ,90HZ,100HZ,110HZ,120HZ,130HZ,140HZ,150HZ,160HZ,170HZ,180HZ,190HZ,200HZ,210HZ,220HZ,230HZ,240HZ,4000HZ,4010HZ,4020HZ,4030HZ,4040HZ,4050HZ,4060HZ,4070HZ,4080HZ,4090HZ,4100HZ,4110HZ,4120HZ,4130HZ,4140HZ,4150HZ,4160HZ,4170HZ,4180HZ,4190HZ,4200HZ,4210HZ,4220HZ,4230HZ,4240HZ,4250HZ,4260HZ,4270HZ,4280HZ,4290HZ,4300HZ,4310HZ,4320HZ,4330HZ,4340HZ,4350HZ,4360HZ,4370HZ,4380HZ,4390HZ,4400HZ,4410HZ,4420HZ,4430HZ,4440HZ,4450HZ,4460HZ,4470HZ,4480HZ,4490HZ,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,label
9.0,9.0,9.0,9.0,6.0,12.0,12.0,12.0,12.0,12.0,18.0,33.0,44.0,47.0,41.0,38.0,47.0,65.0,36.0,47.0,59.0,77.0,101.0,210.0,49.43011825046303,49.700242199743556,75.42356461034335,76.32112836586407,77.25587690554211,78.64068955691694,80.79997150591252,81.38979911668329,83.54908106567886,85.21726741701097,86.57130645391081,117.6013677161989,121.34207152015956,122.09089613905115,125.42812366433967,128.1584271263713,129.97065108989887,194.87391366291496,163.59167972645676,195.26114831172532,234.48254737142045,298.33095882604357,322.76392648525433,388.11169682290927,475.14788431400484,395.5435247186209,392.4302607209004,262.66305741558625,230.37768912950563,233.81535831315,204.52657073657215,204.10343353754098,205.21641259438667,205.3933608776179,171.90269269126657,171.61632711212422,174.76207436956832,171.5671748112267,166.681863513321,162.26456760222254,127.0198033907964,124.00056988174954,156.01367716198888,153.18848838865935,120.8155007835874,120.2991879185069,148.39934463598803,117.30901837868642,175.65066248753385,116.04559053996294,low,high,low,mid,low,mid,low,low,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,1
3.0,3.0,3.0,3.0,,3.0,3.0,6.0,11.0,22.0,34.0,48.0,109.0,87.0,42.0,48.0,53.0,42.0,34.0,39.0,59.0,73.0,95.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.87855636011175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,16.0,13.0,22.0,25.0,41.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6007754147899,0.0,0.0,27.58840298762757,0.0,27.98933804663892,0.0,0.0,0.0,26.99042134671304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.861337590512573,0.0,0.0,0.0,0.0,0.0,0.0,31.118307771252635,0.0,0.0,31.509322082216777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.01185928502195,0.0,31.591937966816808,0.0,31.43217971378072,low,high,low,mid,low,high,low,high,low,high,low,mid,low,mid,low,mid,low,mid,low,mid,0
0.0,3.0,3.0,3.0,3.0,3.0,,5.0,8.0,8.0,13.0,82.0,13.0,13.0,13.0,18.0,21.0,29.0,42.0,66.0,63.0,84.0,105.0,671.0,24.715059125231516,24.850121099871778,25.141188203447783,25.440376121954692,25.751958968514035,26.213563185638982,26.933323835304176,27.129933038894432,27.849693688559622,28.405755805670324,28.8571021513036,29.400341929049723,30.33551788003989,30.52272403476279,31.357030916084916,32.03960678159282,32.492662772474716,32.47898561048582,32.71833594529135,32.54352471862089,33.497506767345776,33.14788431400484,32.27639264852543,32.342641401909106,34.76691836443938,32.961960393218405,32.7025217267417,32.83288217694828,32.911098447072234,33.402194044735715,34.08776178942869,34.0172389229235,34.20273543239778,34.23222681293632,34.38053853825331,34.323265422424846,34.95241487391367,34.31343496224534,33.3363727026642,32.45291352044451,31.7549508476991,31.000142470437385,31.20273543239778,30.63769767773187,30.20387519589685,30.074796979626726,29.679868927197603,29.327254594671604,29.275110414588973,29.011397634990736,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,1
,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,7.0,13.0,17.0,19.0,21.0,31.825531672273218,32.45567022065112,32.941444780204115,33.56998688636752,34.11711043959177,34.7645817891556,17.7338502765266,17.885398255316723,36.449056388619645,36.78453731683676,18.554649637949712,37.31911739551856,37.29129368835167,36.919550715548205,18.25679913335994,35.98722846228405,17.919037573407834,35.80819887108729,36.10399680711557,36.55350932208221,36.88625349221734,18.76857289469183,38.13512743029819,19.17110439591767,19.240891727008382,38.636866411996124,38.901191630081534,39.365528251325614,40.01687667483893,40.47870460117453,20.52363304635384,41.491077028336846,41.75882319402474,62.72888990250299,42.0124294429557,42.032270939050115,41.986430241176805,41.9387650379155,41.873538970294774,42.13603968299219,42.40196134329209,42.664690119163005,43.04623980842693,43.12241290837562,42.970294771651744,42.68247904669593,42.43115342949997,42.12258395575574,41.92143223672957,41.909572951707624,low,mid,low,low,low,mid,low,low,low,mid,low,low,low,mid,low,mid,low,low,low,mid,0
,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,7.0,7.0,5.0,9.0,9.0,9.0,9.0,9.0,14.0,18.0,23.0,30.0,27.0,45.0,15.912765836136609,16.22783511032556,16.470722390102058,16.78499344318376,17.058555219795885,17.3822908945778,17.7338502765266,17.885398255316723,18.224528194309823,18.39226865841838,18.554649637949712,18.65955869775928,18.645646844175836,18.459775357774102,18.25679913335994,17.993614231142026,17.919037573407834,17.904099435543646,18.051998403557786,18.276754661041107,18.44312674610867,18.76857289469183,19.067563715149095,19.17110439591767,19.240891727008382,19.318433205998062,19.450595815040767,19.682764125662807,20.008438337419467,20.239352300587264,20.52363304635384,20.745538514168423,20.87941159701237,20.909629967500997,21.00621472147785,21.016135469525057,20.993215120588403,20.96938251895775,20.936769485147387,21.068019841496096,21.200980671646047,21.332345059581503,21.523119904213466,21.56120645418781,21.485147385825872,21.341239523347966,21.215576714749986,21.06129197787787,20.960716118364786,20.954786475853812,low,mid,low,low,low,mid,low,mid,low,mid,low,low,low,mid,low,mid,low,low,low,mid,0
7.0,9.0,9.0,9.0,9.0,11.0,11.0,15.0,,42.0,20.0,20.0,22.0,22.0,35.0,88.0,93.0,123.0,95.0,73.0,66.0,68.0,101.0,134.0,15.912765836136609,16.22783511032556,16.470722390102058,16.78499344318376,17.058555219795885,17.3822908945778,17.7338502765266,17.885398255316723,18.224528194309823,18.39226865841838,18.554649637949712,18.65955869775928,18.645646844175836,18.459775357774102,18.25679913335994,17.993614231142026,17.919037573407834,17.904099435543646,18.051998403557786,18.276754661041107,18.44312674610867,18.76857289469183,19.067563715149095,19.17110439591767,19.240891727008382,19.318433205998062,0.0,19.682764125662807,20.008438337419467,20.239352300587264,20.52363304635384,20.745538514168423,20.87941159701237,20.909629967500997,21.00621472147785,21.016135469525057,20.993215120588403,20.96938251895775,20.936769485147387,21.068019841496096,21.200980671646047,21.332345059581503,21.523119904213466,21.56120645418781,21.485147385825872,21.341239523347966,21.215576714749986,21.06129197787787,20.960716118364786,20.954786475853812,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,0
3.0,6.0,6.0,6.0,6.0,9.0,6.0,11.0,32.0,29.0,17.0,23.0,29.0,26.0,29.0,29.0,52.0,60.0,55.0,69.0,149.0,118.0,106.0,400.0,23.869148754204915,24.341752665488343,49.412167170306176,25.17749016477564,25.587832829693827,26.0734363418667,53.2015508295798,53.65619476595017,27.336792291464732,27.58840298762757,55.66394891384914,55.97867609327784,27.968470266263754,27.689663036661152,27.38519870003991,26.99042134671304,26.87855636011175,26.85614915331547,27.077997605336677,54.83026398312332,55.32938023832601,28.152859342037743,28.601345572723645,28.756656593876507,28.861337590512573,28.977649808997093,29.17589372256115,29.52414618849421,30.0126575061292,30.359028450880896,30.785449569530762,31.118307771252635,31.319117395518557,31.364444951251496,63.01864416443355,63.048406408575175,31.489822680882604,62.90814755687325,31.40515422772108,31.602029762244143,63.60294201493814,63.99703517874451,32.284679856320196,64.68361936256343,32.22772107873881,64.0237185700439,31.82336507212498,31.591937966816808,62.88214835509436,62.86435942756144,low,high,low,high,low,mid,low,mid,low,high,low,mid,low,mid,low,mid,low,mid,low,mid,0
,10.0,10.0,,10.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,11.0,9.0,9.0,164.76706083487676,149.10072659923065,142.46673315287077,135.68200598375836,137.3437811654082,139.8056703234079,161.59994301182505,153.73628722040178,157.81493090183787,151.4973642969084,144.28551075651802,166.60193759794842,151.67758940019945,183.13634420857673,167.23749821911954,160.1980339079641,173.29420145319847,173.22125658925773,174.49779170822055,162.71762359310443,167.4875338367289,176.78871634135916,150.6231656931187,129.37056560763642,197.01253739848983,153.82248183501923,130.8100869069668,153.22011682575865,131.64439378828894,155.87690554210002,170.43880894714346,158.74711497364297,171.01367716198888,171.1611340646816,137.52215415301325,137.29306168969939,139.80965949565467,171.5671748112267,133.3454908106568,129.81165408177804,127.0198033907964,124.00056988174954,156.01367716198888,122.55079071092749,120.8155007835874,140.3490525715914,148.39934463598803,117.30901837868642,117.10044165835589,116.04559053996294,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,1
14.0,17.0,19.0,19.0,17.0,17.0,19.0,19.0,24.0,22.0,24.0,24.0,26.0,26.0,26.0,36.0,53.0,55.0,77.0,82.0,94.0,137.0,287.0,614.0,98.86023650092606,99.40048439948711,83.80396067815929,101.76150448781877,103.00783587405614,104.85425274255593,107.7332953412167,108.51973215557773,111.39877475423849,113.6230232226813,115.4284086052144,137.2015956688987,121.34207152015956,122.09089613905115,125.42812366433967,149.5181649807665,108.30887590824904,129.9159424419433,130.8733437811654,130.17409887448355,133.9900270693831,154.69012679868928,150.6231656931187,129.37056560763642,139.0676734577575,153.82248183501923,130.8100869069668,153.22011682575865,131.64439378828894,155.87690554210002,159.07622168400056,158.74711497364297,114.00911810799259,159.75039179370282,114.60179512751104,160.1752386379826,163.1112694115971,137.25373984898135,155.5697392790996,151.44692976207438,148.1897706225958,175.6674739991452,145.61276535118964,142.97592249608206,140.95141758085197,170.4238495512181,138.50605499358883,117.30901837868642,136.61718193474854,116.04559053996294,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,1
